image,palette,x,y,w,h,px,py,priority,include
main-frames.png,main-palette.png,0,0,28,28,14,14,0,
main-frames.png,main-palette.png,0,28,28,28,14,14,0,
main-frames.png,main-palette.png,0,56,28,28,14,14,0,
main-frames.png,main-palette.png,0,84,28,28,14,14,0,
main-frames.png,main-palette.png,0,112,28,28,14,14,0,
main-frames.png,main-palette.png,0,140,28,28,14,14,0,
main-frames.png,main-palette.png,0,168,28,28,14,14,0,
main-frames.png,main-palette.png,0,196,28,28,14,14,0,
main-frames.png,main-palette.png,0,224,28,28,14,14,0,
main-frames.png,main-palette.png,0,252,28,28,14,14,0,
main-frames.png,main-palette.png,0,280,28,28,14,14,0,
main-frames.png,main-palette.png,0,308,28,28,14,14,0,
main-frames.png,main-palette.png,0,336,28,28,14,14,0,
main-frames.png,main-palette.png,0,364,28,28,14,14,0,
main-frames.png,main-palette.png,0,392,28,28,14,14,0,
main-frames.png,main-palette.png,0,420,28,28,14,14,0,
main-frames.png,main-palette.png,0,448,28,28,14,14,0,
main-frames.png,main-palette.png,0,476,28,28,14,14,0,
main-frames.png,main-palette.png,0,504,28,28,14,14,0,
main-frames.png,main-palette.png,0,532,28,28,14,14,0,
main-frames.png,main-palette.png,0,560,28,28,14,14,0,
main-frames.png,main-palette.png,0,588,28,28,14,14,0,
main-frames.png,main-palette.png,0,616,28,28,14,14,0,
main-frames.png,main-palette.png,0,644,28,28,14,14,0,
main-frames.png,main-palette.png,0,672,28,28,14,14,0,
main-frames.png,main-palette.png,0,700,28,28,14,14,0,
main-frames.png,main-palette.png,0,728,28,28,14,14,0,
main-frames.png,main-palette.png,0,756,28,28,14,14,0,
main-frames.png,main-palette.png,0,784,28,28,14,14,0,
main-frames.png,main-palette.png,0,812,28,28,14,14,0,
main-frames.png,main-palette.png,0,840,28,28,14,14,0,
main-frames.png,main-palette.png,0,868,28,28,14,14,0,
